,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Thiago,Bayern,M(C),26(1),2291,6,5,4,-,1.3,90.2,1.7,6,8.28,2.8,4.6,1.4,-,0.3,0.6,0.1,-,1.8,2.2,1,0.1,1.3,1.2,94.9,0.6,6.8,-,Bundesliga,2016/2017
1,Arjen Robben,Bayern,FW,21(5),1830,13,9,-,-,3.2,81.2,0.3,5,7.82,0.5,0.6,0.3,-,-,0.3,-,-,1.9,2.6,1,0.3,1.4,0.9,38,0.8,1.1,0.1,Bundesliga,2016/2017
2,Emil Forsberg,RBL,FW,27(3),2349,8,19,1,1,1.6,76.2,0.6,9,7.75,0.9,1.5,0.9,-,0.4,0.5,-,-,3.1,2.4,1.7,0.2,1.7,1.7,28.3,1.6,0.8,0.2,Bundesliga,2016/2017
3,Robert Lewandowski,Bayern,FW,31(2),2777,30,5,5,-,4.3,75.2,1.9,6,7.74,0.3,0.4,1.2,-,0.7,0.2,-,-,0.9,1,1.7,0.8,1.5,1.8,21.5,0.1,0.5,-,Bundesliga,2016/2017
4,Naby Keïta,RBL,M(C),29(2),2416,8,7,8,-,1.4,81.8,0.6,3,7.60,2.6,2.6,2.3,-,0.9,1,0.3,-,1.3,2.7,1.7,-,1.6,1.5,45.9,-,1.6,0.2,Bundesliga,2016/2017
5,Max Kruse,Werder Bremen,FW,23,2047,15,7,1,-,1.8,76.1,1.9,3,7.54,0.7,0.6,0.8,-,0.6,0.7,-,-,2.2,0.7,1.1,0.4,1,1.6,41.3,1,2.8,0.1,Bundesliga,2016/2017
6,Hakan Çalhanoglu,Leverkusen,FW,14(1),1217,6,5,1,-,3.1,77.6,1.7,3,7.49,1.6,1.2,1.2,-,0.6,0.6,0.1,-,1.9,0.8,1.3,0.2,1.1,1.9,51.5,1.2,3,0.1,Bundesliga,2016/2017
7,Kerem Demirbay,Hoffenheim,M(C),27(1),2182,6,8,4,-,1.8,78.8,0.4,6,7.49,2,1.6,1.9,-,0.5,1,-,-,2.1,2.1,1.3,0.1,2.2,1.6,36.8,0.9,2.3,0.1,Bundesliga,2016/2017
8,Andreas Luthe,Augsburg,GK,2,180,-,-,-,-,-,41.2,-,1,7.48,-,-,-,-,1.5,-,-,-,1,-,-,-,-,-,25.5,-,7.5,-,Bundesliga,2016/2017
9,Ousmane Dembélé,Borussia Dortmund,FW,22(10),2042,6,12,7,-,1.7,67,0.2,5,7.44,0.9,0.8,0.8,-,0.1,0.2,-,-,2,3.2,1.9,0.2,1.3,1.6,23.8,1,1.1,0.2,Bundesliga,2016/2017
10,Kyriakos Papadopoulos,Hamburg,D(C),15,1291,2,-,6,-,1,64.8,4.6,3,7.43,2.3,3.2,1.2,0.5,7.4,0.9,0.8,-,0.1,-,0.9,-,-,0.3,29,-,1.9,-,Bundesliga,2016/2017
11,Sebastian Rudy,Hoffenheim,M(CR),32,2789,2,7,9,-,0.8,80.8,1.3,3,7.43,2.9,3.1,1.6,0.1,0.9,1.3,0.3,-,2,0.7,1.5,-,1.1,1.2,50.6,1.2,2.4,0.1,Bundesliga,2016/2017
12,Pierre-Emerick Aubameyang,Borussia Dortmund,FW,31(1),2782,31,2,3,-,3.6,69.7,1.3,3,7.42,0.5,0.3,0.7,-,0.1,0.2,-,-,0.8,0.6,0.7,0.9,0.8,1.3,16.2,0.2,0.2,-,Bundesliga,2016/2017
13,Benjamin Hübner,Hoffenheim,D(C),25,2149,2,3,10,-,0.7,87.7,2.6,2,7.39,2.9,3.3,2.2,0.6,3.1,0.6,0.6,-,0.3,0.2,1.3,0.1,0.4,0.5,60.2,-,3.3,0.1,Bundesliga,2016/2017
14,Franck Ribéry,Bayern,FW,14(8),1242,5,11,2,-,1,83.9,0.4,1,7.38,0.5,0.5,0.6,-,0.1,0.4,0.1,-,2.2,1.7,1.6,0.3,1.5,1.3,40.8,0.5,1.8,0.2,Bundesliga,2016/2017
