,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Cristiano Ronaldo,Juventus,FW,30(1),2689,21,8,3,-,5.7,85.1,1.1,10,7.68,0.3,0.2,0.6,-,1,0.3,0.1,-,1.5,1.5,1.6,0.9,1.3,1.7,33.3,0.5,1,-,Serie A,2018/2019
1,Papu Gómez,Atalanta,FW,34(1),2913,7,11,5,-,3,84.4,0.3,7,7.64,0.5,0.5,0.7,-,0.1,0.7,-,-,3.2,2.2,2.7,0.1,2.2,1.9,46,2.9,2.2,0.2,Serie A,2018/2019
2,Josip Ilicic,Atalanta,FW,23(8),2151,12,7,5,1,3.3,80.2,0.2,4,7.39,0.5,0.2,0.6,-,-,0.5,-,-,2.1,2.5,2.5,0.2,2.5,2.4,39.2,0.5,2.3,0.1,Serie A,2018/2019
3,Suso,AC Milan,FW,35,3031,7,10,8,1,2.7,82.5,0.1,7,7.39,0.8,0.5,0.9,-,-,0.9,-,-,2.8,1.9,2.3,0.2,1.8,1.8,43.1,1.5,3.1,0.1,Serie A,2018/2019
4,Rodrigo De Paul,Udinese,FW,36,3194,9,8,7,-,2.4,76.4,0.1,6,7.37,1.5,0.9,0.8,-,0.3,0.8,0.1,-,2.7,2.3,2.6,-,1.8,2.4,44.1,1.6,4.9,0.3,Serie A,2018/2019
5,Pierluigi Frattali,Parma Calcio 1913,Goalkeeper,1,90,-,-,-,-,-,64.7,-,-,7.35,-,-,-,-,1,-,-,-,-,-,-,-,-,-,34,-,5,-,Serie A,2018/2019
6,Mario Mandzukic,Juventus,FW,23(2),2020,9,6,4,-,1.2,71.1,2.9,3,7.34,1.4,0.5,1.4,-,0.7,0.4,0.2,-,1.2,0.2,1.4,0.3,0.8,1.1,23.4,0.2,0.4,-,Serie A,2018/2019
7,Duván Zapata,Atalanta,FW,32(5),2900,23,7,5,-,3.2,79,1.8,4,7.32,0.2,0.1,1.6,-,0.6,0.2,0.2,-,1.8,1.1,2.2,0.8,2.5,4.1,18.8,0.1,0.5,0.1,Serie A,2018/2019
8,Leonardo Pavoletti,Cagliari,FW,31(1),2738,16,1,6,-,2.6,69,7.4,9,7.32,1,0.2,2.5,0.1,0.8,0.3,0.1,-,0.8,0.3,1.1,0.7,1,2.3,26.3,-,0.4,-,Serie A,2018/2019
9,Stephan El Shaarawy,Roma,FW,23(5),2109,11,3,2,-,2.5,81.7,0.8,4,7.26,1,0.7,0.5,-,0.2,0.5,0.1,-,1.3,1.6,1.3,0.4,0.8,1.9,29.1,0.4,1.4,0.1,Serie A,2018/2019
10,Fabián Ruiz,Napoli,M(CL),20(7),1991,5,4,2,1,1.9,89.8,0.6,2,7.25,2,0.8,0.4,-,0.9,1,0.1,-,2.3,1.3,0.8,0.1,1.1,1,66.6,0.3,3.2,-,Serie A,2018/2019
11,Edin Dzeko,Roma,FW,28(5),2576,9,6,9,-,4,70.9,4,6,7.24,0.4,-,0.9,-,1.1,0.4,-,-,1.4,1,1.1,0.4,1.5,2.2,21.4,0.2,1.4,0.1,Serie A,2018/2019
12,Armando Izzo,Torino,D(C),37,3274,4,1,6,-,0.7,77.8,3.2,6,7.24,2.1,2.4,1.5,0.1,3.8,0.5,0.6,-,0.3,0.2,1.6,0.1,0.3,0.4,49.5,0.1,4.3,-,Serie A,2018/2019
13,Andrea Belotti,Torino,FW,37,3301,15,3,5,-,3.4,64.8,4.1,6,7.23,0.9,0.4,1.9,0.1,0.6,0.6,0.1,-,0.9,1,3,0.8,2.1,3.1,19.8,0.1,0.6,0.1,Serie A,2018/2019
14,Dries Mertens,Napoli,FW,23(12),2253,16,11,1,-,2.5,79,0.2,4,7.20,0.5,0.4,0.9,-,0.1,0.6,-,-,2,0.5,0.8,0.4,0.8,1.2,24.2,0.5,0.7,0.1,Serie A,2018/2019
15,João Cancelo,Juventus,M(R),22(3),1967,1,3,6,-,1,86.2,0.9,2,7.20,1.7,0.6,1.3,0.1,1.3,0.9,0.2,-,1.4,2.4,1,-,0.9,1.4,50.3,1,2.4,-,Serie A,2018/2019
16,Krzysztof Piatek,Genoa,FW,18(1),1594,13,-,5,-,4.1,73.2,2.3,2,7.20,0.5,0.2,1.6,0.1,1.1,0.7,0.2,-,0.8,0.4,1.8,0.6,1.2,2.5,15.7,-,0.7,0.1,Serie A,2018/2019
17,Cristian Ansaldi,Torino,M(CLR),23(1),1816,3,2,3,-,1.6,73.3,0.2,2,7.19,2.1,0.6,0.9,0.1,0.9,0.6,0.2,-,1.5,2.2,1.3,0.1,1.4,2,24.2,1.7,2.3,-,Serie A,2018/2019
18,Giacomo Bonaventura,AC Milan,M(CLR),8,651,3,1,-,-,3.4,88.7,1.1,-,7.16,0.8,0.9,0.6,-,0.9,0.6,-,-,1.3,1.3,1,0.1,1.3,1.5,45.4,0.3,1.9,-,Serie A,2018/2019
19,Lorenzo Insigne,Napoli,FW,24(4),2080,10,6,6,1,4.3,86,0.1,3,7.16,0.5,0.3,0.3,-,0.1,0.4,-,-,2.3,0.9,0.5,0.6,1,1.6,43.9,0.4,2.8,0.2,Serie A,2018/2019
20,Domenico Criscito,Genoa,M(L),35,3071,2,4,12,1,0.9,75.7,1.3,3,7.15,3.1,2,1.3,0.3,3.7,0.7,0.3,-,1.4,0.6,1.4,0.1,0.3,0.5,41.4,0.9,3.5,0.1,Serie A,2018/2019
21,Alex Sandro,Juventus,M(L),28(3),2392,1,2,7,-,0.7,84.6,1.8,3,7.15,2.2,1.2,1.6,0.2,1.9,0.5,0.3,-,1.2,0.9,1.6,0.1,0.8,1.1,51,0.6,2.5,-,Serie A,2018/2019
22,Tiemoué Bakayoko,AC Milan,DMC,26(5),2301,1,1,5,1,0.8,86.6,2.4,4,7.15,2.3,1.6,1.4,-,1.4,1.1,0.2,-,0.8,2,2.3,-,1.4,1.8,42.9,-,1.3,-,Serie A,2018/2019
23,Sergej Milinkovic-Savic,Lazio,AM(C),29(2),2405,5,3,7,1,2.5,79.6,3.6,2,7.15,1.4,0.9,1.9,-,1.5,1.2,0.1,-,1.5,1.1,1.1,0.4,1.5,2.1,45.2,0.1,2.6,0.2,Serie A,2018/2019
24,Allan,Napoli,DMC,28(5),2614,1,3,10,-,0.8,89.6,0.4,2,7.13,3.2,1.1,1.5,-,0.8,2.2,0.4,-,1,1.2,1.9,-,1.3,1,66.2,0.1,3.2,0.1,Serie A,2018/2019
25,Medhi Benatia,Juventus,D(C),5,450,-,-,2,-,0.6,90.5,3,-,7.13,1.4,3.2,2.6,0.4,3.4,0.4,1,-,-,0.4,0.6,-,0.4,-,63.4,-,4.8,-,Serie A,2018/2019
26,Arkadiusz Milik,Napoli,FW,27(8),2398,17,3,4,-,3.2,82.7,1.3,4,7.13,0.5,0.1,1.2,-,0.4,0.5,0.1,-,1.1,0.2,0.8,0.5,0.7,1.3,16.8,0.1,0.5,-,Serie A,2018/2019
