,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,James Rodríguez,Bayern,27,FW,19(4),1627,7,11,2,-,1.7,90,0.3,5,7.63,1.5,0.5,1,-,0.1,0.7,-,-,2.8,0.9,1.4,0.2,0.7,1,62.3,1.8,5,0.2,Bundesliga,2017/2018
1,Daniel Caligiuri,Schalke,30,FW,32(1),2918,6,10,4,-,1.1,71.9,0.8,7,7.57,3,2,1.2,0.1,1.6,1.4,0.1,-,1.5,1.7,1.3,-,1.1,1.1,38.5,1.2,2.2,-,Bundesliga,2017/2018
2,Robert Lewandowski,Bayern,30,FW,24(6),2169,29,2,1,-,4.2,79.5,1.8,2,7.49,0.2,0.2,1.2,-,0.3,0.1,-,-,0.7,0.6,1.2,0.8,1,1.4,19.8,-,0.5,-,Bundesliga,2017/2018
3,Arturo Vidal,Bayern,31,M(CR),17(5),1461,6,2,6,-,2.2,88.5,1.8,5,7.49,3.1,1.3,2,-,0.6,1.6,-,-,1.2,0.4,0.8,0.2,0.4,0.9,52.8,-,4.4,-,Bundesliga,2017/2018
4,Niklas Dorsch,Bayern,20,DMC,1,90,1,-,-,-,1,79.5,-,-,7.45,1,1,2,-,-,2,-,-,1,1,-,-,1,2,39,-,1,-,Bundesliga,2017/2018
5,Ignacio Camacho,Wolfsburg,28,M(C),11,953,-,-,1,-,0.5,76,5.1,1,7.42,2.5,3.7,1.3,0.7,3.6,1.3,0.5,-,0.4,0.2,2,0.1,0.8,0.8,47.8,-,3.5,0.1,Bundesliga,2017/2018
6,Naldo,Schalke,36,D(C),34,3060,7,2,4,-,1.4,85.7,4.9,6,7.42,1.5,1.6,1,0.6,5.7,0.4,0.6,-,0.4,0.3,0.5,-,-,0.3,49.9,-,3.6,-,Bundesliga,2017/2018
7,Serge Gnabry,Hoffenheim,23,FW,20(2),1507,10,5,-,-,2.2,77.4,0.3,2,7.41,1.5,0.4,0.9,-,0.2,0.5,-,-,1.2,2,0.7,0.5,1,1.1,22,0.3,0.5,0.2,Bundesliga,2017/2018
8,Alexander Hack,Mainz,25,D(C),14(1),1288,1,-,2,-,0.8,76.6,4.8,1,7.41,3.1,1.7,0.7,0.2,5.5,0.9,1.2,-,0.3,0.3,1.3,0.1,0.1,0.4,43.3,0.1,3.9,-,Bundesliga,2017/2018
9,Marco Reus,Borussia Dortmund,29,FW,11,935,7,-,1,-,2.8,80.2,0.3,2,7.39,1.5,0.4,1.2,0.1,0.7,0.6,0.3,-,1.6,1.2,1.8,0.5,0.9,1.5,31.6,1.1,0.8,0.1,Bundesliga,2017/2018
10,Thiago,Bayern,27,M(C),12(7),1243,2,2,3,-,1.3,91.5,1.2,2,7.36,2.4,1.4,1.3,-,0.3,0.6,0.2,-,1.5,1.3,0.7,0.1,0.8,0.6,67.7,0.1,5.8,-,Bundesliga,2017/2018
11,Salif Sané,Hannover,28,DMC,32,2880,4,1,6,-,0.9,81,5.7,5,7.34,1.8,1.8,1.1,0.8,7.3,0.8,0.9,-,0.3,0.5,1.1,-,0.4,0.8,56,-,4.2,-,Bundesliga,2017/2018
12,Leon Bailey,Leverkusen,21,FW,25(5),2223,9,6,2,-,2.5,75,0.9,4,7.32,0.5,0.5,0.9,-,0.2,0.2,-,-,2,1.9,1,0.2,1.4,1.4,28.2,2.3,1.6,-,Bundesliga,2017/2018
13,Arjen Robben,Bayern,34,FW,19(2),1518,5,5,-,-,2.4,85,0.8,2,7.31,0.7,0.2,0.5,-,0.1,0.4,-,-,1.6,1.2,1.2,0.4,0.7,1.3,36.4,1,1.5,-,Bundesliga,2017/2018
14,Thomas Müller,Bayern,29,FW,22(7),1966,8,14,4,-,1.5,76.9,1.2,1,7.28,1.2,0.2,0.7,-,0.4,0.5,-,-,2,0.4,0.5,0.3,0.5,1.4,32,0.9,1.1,-,Bundesliga,2017/2018
15,Mats Hummels,Bayern,30,D(C),25(1),2213,1,1,3,-,1,87.3,2.8,1,7.27,2.4,2.1,0.7,0.4,2.2,0.6,0.5,-,0.3,0.5,0.2,-,0.2,0.4,77.7,0.1,5.8,-,Bundesliga,2017/2018
16,Pierre-Emerick Aubameyang,Borussia Dortmund,29,FW,16,1417,13,3,-,1,3.6,76.5,1.6,2,7.25,0.3,0.2,1.1,-,0.1,0.4,0.1,-,1,0.3,0.5,0.9,0.8,1.6,19.7,0.3,0.2,-,Bundesliga,2017/2018
17,Naby Keïta,RBL,23,M(C),23(4),1962,6,5,7,2,1.6,81.4,0.6,4,7.24,2.4,1.3,1.9,-,0.6,1,0.1,-,1.4,2.5,2.2,-,2.1,1.4,44.8,0.3,1.2,0.3,Bundesliga,2017/2018
18,Lars Stindl,Borussia M.Gladbach,30,FW,31,2731,6,3,5,-,2.3,82.7,1.9,2,7.23,1.7,1,2,-,0.9,0.8,0.1,-,1.7,0.7,2.1,0.3,2.1,1.5,51.1,0.3,2,0.1,Bundesliga,2017/2018
19,Joshua Kimmich,Bayern,23,M(R),26(3),2334,1,10,1,-,0.3,90.3,0.8,1,7.23,1.1,0.7,0.6,0.3,1.1,0.6,0.2,-,1.8,0.7,1.8,0.1,0.2,0.7,61.8,2.1,5.1,-,Bundesliga,2017/2018
20,Sandro Wagner,Hoffenheim,31,FW,10(1),872,4,2,3,-,2.4,68.6,4.5,2,7.21,0.7,0.3,2.5,0.2,1.2,0.1,0.3,-,1.6,0.2,2.4,0.2,1.9,1.6,24,-,0.5,0.1,Bundesliga,2017/2018
21,Benjamin Hübner,Hoffenheim,29,D(C),27,2319,3,2,9,-,0.9,83.7,3.2,4,7.20,2.6,1.9,1.7,0.5,3.7,0.6,0.7,-,0.4,0.2,1,-,0.1,0.4,53.8,0.1,3.1,-,Bundesliga,2017/2018
22,Kingsley Coman,Bayern,22,FW,10(11),1149,3,3,-,-,1.4,85.9,0.7,2,7.20,0.5,0.3,0.3,-,-,0.2,-,-,1,2.6,1,0.1,0.9,1.4,26,0.5,0.8,-,Bundesliga,2017/2018
23,Lars Bender,Leverkusen,29,M(CR),20(1),1603,2,4,5,-,1,78.6,1.8,1,7.20,3,1.3,0.5,-,1.7,0.9,0.3,-,0.9,0.4,1.1,-,0.4,0.6,39.6,0.3,1.8,-,Bundesliga,2017/2018
24,Lukasz Piszczek,Borussia Dortmund,33,M(R),24,2140,-,3,3,-,0.8,81.3,2.7,-,7.19,2.1,1.8,0.9,0.3,2.5,0.9,0.5,-,0.7,0.7,1,0.1,0.6,0.7,54.5,0.5,1.7,-,Bundesliga,2017/2018
25,Marc Bartra,Borussia Dortmund,27,DMC,9(3),806,2,1,1,-,0.4,79.5,3.1,1,7.16,2.3,2.3,0.8,1.1,3.1,0.8,0.2,-,0.4,0.4,0.8,0.1,0.4,0.6,54.5,0.2,2.3,-,Bundesliga,2017/2018
26,Mario Gomez,Stuttgart,33,FW,16,1389,8,1,3,-,2.1,63,3.8,5,7.15,0.8,0.3,1.6,-,1,0.5,-,-,0.9,0.5,1.6,0.4,1.4,2.3,21.8,0.2,0.4,-,Bundesliga,2017/2018
27,Caiuby,Augsburg,30,FW,32(1),2859,5,7,8,-,2.3,66.7,5,6,7.15,1.6,0.5,2.1,-,1,0.8,-,-,1,1.2,1.5,0.2,1.5,1.9,30,0.6,1.4,-,Bundesliga,2017/2018
28,Jérôme Boateng,Bayern,30,D(CR),19,1644,1,2,4,-,0.7,86.9,1.7,1,7.14,1.4,1.1,0.7,0.4,2.6,0.7,0.6,-,0.7,0.1,0.4,-,0.1,0.2,74.3,0.3,8.6,0.1,Bundesliga,2017/2018
29,Maximilian Philipp,Borussia Dortmund,24,FW,15(5),1209,9,1,-,-,2.2,73.1,1.2,2,7.13,1.2,0.3,0.9,-,0.2,0.7,-,-,0.8,0.8,1.2,0.6,1,1.3,14.7,0.2,0.3,0.1,Bundesliga,2017/2018
