,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Nenê,PSG,FW,35,3037,21,11,5,-,2.9,74.8,0.2,14,7.94,1.3,1.7,1.3,0.1,0.3,0.9,0.1,-,3.7,1.4,3.5,0.3,3.3,2.8,46.8,2.3,2.6,0.7,Ligue 1,2011/2012
1,Eden Hazard,Lille,FW,35(3),3212,20,16,2,-,2.8,81.9,0.1,10,7.80,0.8,0.7,1.1,-,0.1,0.6,-,-,2.5,2.3,3.8,0.1,2.8,2.7,52,0.8,2.1,0.4,Ligue 1,2011/2012
2,Benjamin Lecomte,Lorient,GK,4(1),428,-,-,-,-,-,69.6,-,-,7.67,-,-,-,-,0.6,-,-,-,-,-,0.2,-,-,0.2,13.8,-,5,-,Ligue 1,2011/2012
3,Laurent Pionnier,Montpellier,GK,4,360,-,-,-,-,-,72.8,-,1,7.59,-,-,-,-,2,-,-,-,-,-,0.3,-,-,-,23,-,8.8,-,Ligue 1,2011/2012
4,Olivier Giroud,Montpellier,FW,36,3202,21,9,6,-,4.5,69.1,3.6,8,7.59,0.4,0.6,2.3,-,0.6,0.2,0.1,-,1.3,0.5,1.8,1.3,1.3,3,23.6,0.1,0.5,-,Ligue 1,2011/2012
5,Florent Chaigneau,Lorient,GK,2(1),254,-,-,-,-,-,42.2,-,-,7.56,-,-,-,-,1,-,-,-,-,-,-,-,-,-,15,-,4.3,-,Ligue 1,2011/2012
6,Jérémy Ménez,PSG,FW,33,2719,7,13,12,-,2.1,80.4,0.2,5,7.50,1.9,1.3,1.5,-,0.2,0.4,0.2,-,1.5,2,2.6,0.5,2.6,1.8,38.4,0.2,2.5,0.5,Ligue 1,2011/2012
7,Fouad Rachid,Nancy,Midfielder,1,90,-,-,-,-,-,83.3,3,-,7.46,4,2,1,-,-,-,-,-,1,3,5,-,3,-,48,1,1,-,Ligue 1,2011/2012
8,Wesley Lautoa,Lorient,DMC,5,450,-,-,1,-,0.2,84.3,1.4,2,7.40,3.8,3.6,2,0.2,10.8,1,0.2,-,0.2,0.6,2.4,-,-,0.2,28,0.2,2.6,-,Ligue 1,2011/2012
9,Etienne Capoue,Toulouse,M(CL),31(2),2819,3,4,6,1,1.5,76.7,2,5,7.39,2.8,3.5,2,0.1,3,0.8,0.3,-,0.9,0.5,2,-,1.6,1.1,60.4,0.2,5,0.3,Ligue 1,2011/2012
10,Miralem Pjanic,Lyon,M(C),1(2),160,1,3,1,-,1.3,87.7,0.3,-,7.39,0.7,2,0.3,-,0.3,-,-,-,1.7,0.7,2.7,-,1,1,35.3,0.3,2.7,0.3,Ligue 1,2011/2012
11,Donovan Léon,Auxerre,Goalkeeper,2,180,-,-,-,-,-,50,-,1,7.38,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,18,-,5,-,Ligue 1,2011/2012
12,Javier Pastore,PSG,AM(CLR),30(3),2645,13,6,4,-,2.6,74.4,0.2,4,7.31,0.9,1,1,-,0.2,0.8,0.1,-,2,1.5,1.3,0.6,2.3,2,41.6,0.2,1.6,0.7,Ligue 1,2011/2012
13,Michael Basser Chretien,Nancy,D(C),1,90,-,-,-,-,-,64.6,7,-,7.30,3,2,-,-,4,-,-,-,1,-,1,-,-,2,48,1,2,-,Ligue 1,2011/2012
14,Bertrand Laquait,Evian,GK,7,602,-,-,-,-,-,43,-,-,7.30,-,0.1,-,-,1.4,-,-,-,-,-,0.4,-,-,-,17.3,-,4.1,-,Ligue 1,2011/2012
15,Yohan Mollo,Nancy,FW,18(1),1504,3,6,2,-,1.6,77.3,0.7,1,7.29,1.1,0.8,1.7,-,0.1,0.3,-,-,3.1,1.6,2.5,0.5,1.9,2.4,32.2,2.2,1.6,0.1,Ligue 1,2011/2012
16,Mathieu Debuchy,Lille,M(R),32,2845,5,1,9,1,1.3,77.4,2.1,2,7.29,2.8,2.1,2.3,0.4,4.3,0.7,0.3,-,0.8,0.7,1.7,0.3,0.9,1.3,38.2,0.8,0.8,-,Ligue 1,2011/2012
17,Mathieu Valbuena,Marseille,M(CLR),27(6),2345,5,13,7,-,1.7,84.8,0.3,5,7.28,0.7,0.9,1.4,-,0.1,0.6,-,-,3.2,1,3,0.2,2.8,1.6,39.3,2.5,1.3,0.2,Ligue 1,2011/2012
18,Bruno Ecuele Manga,Lorient,D(CR),31(1),2799,2,-,8,-,0.8,82.5,3.1,4,7.28,2.1,2.4,0.8,1,11.8,0.2,0.5,1,0.1,0.2,0.8,-,0.3,0.2,32.9,-,2.7,-,Ligue 1,2011/2012
19,Renaud Cohade,Valenciennes,M(C),34(1),2969,7,4,6,-,1.7,80.5,0.8,4,7.28,3.1,1.8,2,-,1.3,1.2,0.1,-,1.6,0.6,1.4,-,2.2,1.9,54.7,1.2,4.1,0.1,Ligue 1,2011/2012
