,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Harry Kane,Tottenham,FW,35,3087,23,14,1,-,3.9,69.9,2.2,13,7.79,0.6,0.3,0.7,-,1.1,0.5,0.3,-,1.4,1.5,1.7,0.4,1.5,1.8,25.9,0.2,1.9,0.1,Premier League,2020/2021
1,Kevin De Bruyne,Man City,FW,23(2),2001,6,12,1,-,3.2,81.7,0.2,8,7.65,1.4,0.4,1.1,-,0.3,1.4,-,-,3.2,1.9,1.2,-,1.3,1.8,50.6,1.6,2.6,0.2,Premier League,2020/2021
2,Jack Grealish,Aston Villa,FW,24(2),2184,6,10,6,-,1.9,83.3,1,4,7.56,1.2,0.5,1.5,-,0.2,0.3,0.1,-,3.1,2.5,4.2,0.3,1.5,2.1,38.3,0.7,1.2,0.1,Premier League,2020/2021
3,Bruno Fernandes,Man Utd,M(CLR),35(2),3110,18,12,6,-,3.3,78.3,0.4,6,7.43,1.5,0.7,1.2,-,0.7,2,-,-,2.6,0.6,1.4,0.1,1,1.5,57.1,1.1,3.8,0.2,Premier League,2020/2021
4,Tomás Soucek,West Ham,DMC,38,3420,10,1,7,1,1.7,75.5,6.2,6,7.36,2.1,1.6,1.8,0.1,2.7,1.3,0.5,1,0.5,0.4,1.1,0.1,0.6,1.1,42.3,-,2.2,-,Premier League,2020/2021
5,Mason Mount,Chelsea,M(CLR),32(4),2892,6,5,2,-,2.3,86.5,0.6,4,7.33,2.1,0.9,1.4,-,0.3,1.2,0.1,-,2.4,1.2,1.2,0.1,1.1,1.6,47.3,1.7,1.6,-,Premier League,2020/2021
6,Sadio Mané,Liverpool,FW,31(4),2813,11,7,3,-,2.7,78.7,1,7,7.33,1.4,0.4,1.5,-,0.3,0.6,-,-,1.7,2.3,2.2,0.9,1.7,2.9,28.8,0.3,0.8,-,Premier League,2020/2021
7,Riyad Mahrez,Man City,FW,23(4),1955,9,6,-,-,2.1,88.4,0.6,4,7.31,0.7,0.3,0.5,-,0.1,0.9,-,-,1.6,1.7,1.1,0.3,1.1,1.7,37.2,0.7,0.9,-,Premier League,2020/2021
8,João Cancelo,Man City,M(R),27(1),2302,2,3,5,1,1.3,87.1,1.1,2,7.31,2.4,1.5,1.3,0.3,1,1.4,0.1,-,1.6,1.7,0.6,0.1,0.8,1.3,66.2,0.4,2.4,0.1,Premier League,2020/2021
9,Gareth Bale,Tottenham,FW,10(10),923,11,2,1,-,1.9,73.2,1.2,4,7.30,0.9,0.4,0.5,0.1,0.7,0.4,0.1,-,1.1,1.4,0.5,0.3,0.4,0.9,18.3,0.6,1.5,0.1,Premier League,2020/2021
10,Nathaniel Phillips,Liverpool,D(C),15(2),1456,1,1,2,-,0.9,84.2,5.6,3,7.29,1.3,1.2,1.2,0.5,4.8,0.8,0.8,-,0.4,0.1,0.5,-,0.2,0.5,65.7,-,2.6,-,Premier League,2020/2021
11,Ilkay Gündogan,Man City,M(C),23(5),2031,13,2,1,-,1.9,91.7,0.4,2,7.29,0.9,0.7,0.3,-,0.3,1,0.1,-,1.5,1,0.9,-,0.5,1.1,61.2,0.3,1.6,-,Premier League,2020/2021
12,Son Heung-Min,Tottenham,FW,36(1),3127,17,10,-,-,1.8,83.4,0.5,-,7.27,0.9,0.4,0.4,-,0.1,1.5,0.1,-,2,1.1,1.5,0.4,1.4,1.6,28.6,1,0.8,-,Premier League,2020/2021
13,Wilfred Ndidi,Leicester,DMC,25(1),2179,1,4,6,-,0.6,86.9,2.2,1,7.25,3.7,2.3,2.1,0.1,2,1.5,0.4,-,0.6,0.6,0.6,-,0.5,1,55.1,-,2,-,Premier League,2020/2021
14,Jesse Lingard,West Ham,FW,16,1426,9,4,3,-,2.6,83.6,-,2,7.22,0.8,0.3,1.3,-,-,0.6,0.1,-,1.1,1.1,1.5,0.4,1.4,1.8,39.6,0.4,1,-,Premier League,2020/2021
15,Raphinha,Leeds,FW,26(4),2364,6,9,3,-,2.2,72.3,0.3,4,7.22,1.1,1,0.4,-,0.9,1.5,-,-,2.1,1.9,1,0.5,1.1,2.8,29.2,1.3,1.5,-,Premier League,2020/2021
16,Raheem Sterling,Man City,FW,28(3),2537,10,7,4,-,2.3,86.2,0.3,4,7.22,0.7,0.5,1.2,-,0.1,0.2,-,-,1.3,2.1,1.3,0.3,2.7,2,35.9,-,0.3,-,Premier League,2020/2021
17,James Rodríguez,Everton,FW,21(2),1776,6,4,4,-,1.6,83.3,0.3,3,7.21,1.2,0.7,0.7,-,-,1.5,-,-,1.7,1.5,1.7,0.3,1.7,1.4,44.8,0.7,4.3,0.2,Premier League,2020/2021
18,Ollie Watkins,Aston Villa,FW,37,3329,14,5,2,1,2.6,71.5,3.7,4,7.18,0.8,0.2,1.3,-,0.6,0.6,0.1,-,1.2,1.1,1.3,0.8,2.3,3.1,21.7,0.1,0.2,-,Premier League,2020/2021
19,Kortney Hause,Aston Villa,D(CL),7,630,1,-,2,-,0.7,74.6,5.6,-,7.17,0.6,1.1,0.7,0.4,7.6,0.4,0.3,-,-,-,0.4,-,-,0.1,33.1,-,2.3,-,Premier League,2020/2021
20,Rodri,Man City,DMC,31(3),2749,2,2,6,-,0.9,91.3,2.4,1,7.17,2.1,1.1,1.3,-,1.6,1,0.3,-,1,0.8,0.9,0.1,0.6,0.7,81.9,0.1,4.6,-,Premier League,2020/2021
21,Michail Antonio,West Ham,FW,24(2),1984,10,5,3,-,2.4,68.2,2.8,2,7.17,0.3,0.3,1.1,-,0.3,0.2,0.1,-,1,1.7,1.5,0.6,1.9,3,17.4,0.1,0.5,-,Premier League,2020/2021
22,Dominic Calvert-Lewin,Everton,FW,32(1),2876,16,-,3,-,2.5,68.7,4.7,4,7.17,0.5,0.2,1.1,-,1,0.2,0.2,-,0.5,0.7,1.2,0.5,0.9,3.1,20.5,0.1,0.5,-,Premier League,2020/2021
